"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation_function","hidden_layers","learning_rate","method","metric.goal","metric.name","optimizer","parameters.activation_functions","parameters.hidden_layerss","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.learning_rates","parameters.optimizers","Epoch","Train Accuracy","Train Loss","Validation Accuracy","Validation F1 Score","Validation Loss","Validation Precision","Validation Recall"
"fast-sweep-10","finished","-","","","2024-10-12T12:48:57.000Z","5","bch2bh4y","linear","[9]","0.1","","","","batch","","","","","","","","500","0.6105032822757112","0.9502955531836564","0.6681222707423581","0.3932211221122112","0.9040659067292094","0.39570164563626176","0.3931089743589743"
"electric-sweep-9","finished","-","","","2024-10-12T12:48:51.000Z","4","bch2bh4y","linear","[9]","0.1","","","","batch","","","","","","","","500","0.6105032822757112","0.9491169079076858","0.6681222707423581","0.3932211221122112","0.9038707921947038","0.39570164563626176","0.3931089743589743"
"morning-sweep-8","finished","-","","","2024-10-12T12:48:45.000Z","4","bch2bh4y","linear","[9]","0.1","","","","mini_batch","","","","","","","","500","0.6094091903719913","0.9475404589236835","0.6681222707423581","0.3932211221122112","0.9029322844234275","0.39570164563626176","0.3931089743589743"
"polar-sweep-7","finished","-","","","2024-10-12T12:48:40.000Z","4","bch2bh4y","linear","[9,18]","0.1","","","","batch","","","","","","","","500","0.4234135667396061","1.1966731490725753","0.4192139737991266","0.11815384615384614","1.129948768543738","0.08384279475982533","0.2"
"jumping-sweep-6","finished","-","","","2024-10-12T12:48:24.000Z","10","bch2bh4y","tanh","[32,64]","0.01","","","","batch","","","","","","","","500","0.4234135667396061","1.3530993276489038","0.4192139737991266","0.11815384615384614","1.3199330922690549","0.08384279475982533","0.2"
"solar-sweep-5","finished","-","","","2024-10-12T12:48:18.000Z","4","bch2bh4y","relu","[9]","0.01","","","","sgd","","","","","","","","500","0.4234135667396061","1.3468609162961882","0.4192139737991266","0.11815384615384614","1.3130538092663302","0.08384279475982533","0.2"
"drawn-sweep-4","finished","-","","","2024-10-12T12:47:19.000Z","53","bch2bh4y","sigmoid","[32,64]","0.1","","","","batch","","","","","","","","500","0.4234135667396061","1.1992263405245964","0.4192139737991266","0.11815384615384614","1.131646429908486","0.08384279475982533","0.2"
"hardy-sweep-3","finished","-","","","2024-10-12T12:47:08.000Z","5","bch2bh4y","tanh","[9]","0.1","","","","mini_batch","","","","","","","","500","0.611597374179431","0.9614792830984408","0.6593886462882096","0.3916697936210132","0.8893804539571677","0.3901949541284403","0.394740675990676"
"grateful-sweep-2","finished","-","","","2024-10-12T12:46:57.000Z","9","bch2bh4y","relu","[9,18]","0.01","","","","batch","","","","","","","","500","0.4234135667396061","1.349026260321361","0.4192139737991266","0.11815384615384614","1.3153398497300548","0.08384279475982533","0.2"
"sweepy-sweep-1","finished","-","","","2024-10-12T12:46:46.000Z","5","bch2bh4y","sigmoid","[9,18]","0.1","","","","sgd","","","","","","","","500","0.4234135667396061","1.2110648564631217","0.4192139737991266","0.11815384615384614","1.148343934963824","0.08384279475982533","0.2"
"gentle-sweep-3","failed","-","","","2024-10-12T12:45:56.000Z","4","0jlp0763","tanh","[9,18]","0.1","","","","mini_batch","","","","","","","","","","","","","","",""
"upbeat-sweep-2","failed","-","","","2024-10-12T12:45:51.000Z","3","0jlp0763","tanh","[9]","0.1","","","","batch","","","","","","","","","","","","","","",""
"colorful-sweep-1","failed","-","","","2024-10-12T12:45:45.000Z","4","0jlp0763","tanh","[9]","0.01","","","","batch","","","","","","","","","","","","","","",""
